,pair_of_objects,cause_directions,confounders,confidences
245,tennis net // tennis player,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['tennis field', 'tennis match', 'Tennis court', 'tennis match', 'Tennis']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
246,goats // ram,"['z-to-xy', 'z-to-xy', 'x-is-y', 'z-to-xy', 'z-to-xy']","['mountains', '?', '', 'farm', 'Animals']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_2']"
247,shoes // jacket,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['person', '?', 'Person', 'stores', 'Human']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
248,life jacket // paddle,"['z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['boat', '', 'Boat', 'boat', 'Body of water']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
249,fans // baseball player,"['y-to-x', 'z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy']","['', '?', 'Stadium', '', 'Sports']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
250,baseball player // pitcher's mound,"['y-to-x', 'z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy']","['', 'baseball', 'Stadium', '', 'Baseball']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_2']"
251,sandwiches // french fry,"['x-to-y', 'x-to-y', 'x-to-y', 'z-to-xy', 'z-to-xy']","['', '', '', 'food', 'Agriculture']","['confidence_2', 'confidence_1', 'confidence_3', 'confidence_2', 'confidence_2']"
252,image // waves,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['photo/beach', '?', '?', '?', 'Earth']","['confidence_2', 'confidence_3', 'confidence_1', 'confidence_1', 'confidence_1']"
253,shoe // jacket,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['person', '?', 'Person', 'person', 'person']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
254,wall // shirt,"['x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', '?', '?', '?', 'People']","['confidence_1', 'confidence_3', 'confidence_1', 'confidence_1', 'confidence_3']"
255,window // face,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['person', '?', '?', '?', 'People']","['confidence_2', 'confidence_3', 'confidence_1', 'confidence_1', 'confidence_2']"
256,scooter // moped,"['x-is-y', 'x-is-y', 'x-is-y', 'z-to-xy', 'z-to-xy']","['', '', '', 'vehicle', 'Two wheelers']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
257,glasses // woman,"['y-to-x', 'z-to-xy', 'y-to-x', 'y-to-x', 'y-to-x']","['', 'face', '', '', '']","['confidence_2', 'confidence_1', 'confidence_3', 'confidence_3', 'confidence_2']"
258,arm // head,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['body', 'Person', 'body', 'Person', 'Body']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
259,window // ceiling,"['y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', 'House', 'building', 'Room', 'building']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
260,skater // skatepark,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
261,jacket // man,"['y-to-x', 'y-to-x', 'z-to-xy', 'y-to-x', 'y-to-x']","['', '', '?', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
262,burger // fries,"['x-to-y', 'z-to-xy', 'x-to-y', 'x-to-y', 'z-to-xy']","['', 'Chef', '', '', '?']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
263,fence // grass,"['y-to-x', 'z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy']","['', 'Field', '', 'Outside', '?']","['confidence_3', 'confidence_2', 'confidence_1', 'confidence_2', 'confidence_3']"
264,sign post // street sign,"['x-is-y', 'x-is-y', 'x-is-y', 'x-is-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_3']"
265,disc // pitcher's mound,"['y-to-x', 'y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', '', '?', '?', 'Baseball field']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_1', 'confidence_3']"
266,hamburger // burger,"['y-to-x', 'z-to-xy', 'x-is-y', 'x-is-y', 'x-is-y']","['', 'Chef', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
267,uniform // shorts,"['x-to-y', 'x-to-y', 'x-to-y', 'z-to-xy', 'x-to-y']","['', '', '', 'Clothing', '']","['confidence_3', 'confidence_1', 'confidence_3', 'confidence_2', 'confidence_3']"
268,little girl // menu,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Restaurant gifting barbies on select dishes ', 'Place', '?', '?', 'child']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_1', 'confidence_3']"
269,trees // table,"['x-to-y', 'x-to-y', 'z-to-xy', 'z-to-xy', 'x-to-y']","['', '', '?', 'Picnic', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
270,conductor // jeep,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y']","['Engine ', '?', '?', '?', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_1', 'confidence_3']"
271,hat // man,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_3']"
272,muffler // exhaust pipe,"['z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy', 'x-is-y']","['Motor Cycle ', 'Motorcycle', '', 'Car', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
273,people // suit,"['z-to-xy', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['Professional Attire', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
274,snowsuit // kneepad,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y', 'x-to-y']","['Uniforms ', '?', '?', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
275,couple // woman,"['x-to-y', 'y-to-x', 'z-to-xy', 'x-to-y', 'x-to-y']","['', '', '?', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
276,pads // knee pads,"['x-to-y', 'z-to-xy', 'x-to-y', 'x-is-y', 'x-is-y']","['', 'Sports', '', '', '']","['confidence_3', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_2']"
277,boy // shirt,"['x-to-y', 'x-to-y', 'y-to-x', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
278,roman numeral // numerals,"['x-to-y', 'x-is-y', 'x-is-y', 'x-to-y', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
279,clothing // closet,"['x-to-y', 'y-to-x', 'x-to-y', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
280,shoes // hair,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['person', 'Person', 'Human', 'man', 'person']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
281,wall // field,"['x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y']","['', '?', 'Indoor/Outdoor scenes', '?', '']","['confidence_3', 'confidence_1', 'confidence_2', 'confidence_3', 'confidence_3']"
282,water // shirt,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['washing machine', 'Athlete', 'Swimming', '?', '?']","['confidence_3', 'confidence_2', 'confidence_1', 'confidence_3', 'confidence_3']"
283,shirt // shorts,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['cotton', 'Person', 'Human', 'people', 'person']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
284,water // hair,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'Swimmer', 'bath', '?', '?']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
285,socks // shoe,"['y-to-x', 'z-to-xy', 'z-to-xy', 'y-to-x', 'x-to-y']","['', 'Person', 'Legs', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
286,cushions // recliner,"['x-to-y', 'z-to-xy', 'x-to-y', 'z-to-xy', 'y-to-x']","['', 'couch', '', '?', '']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_1', 'confidence_3']"
287,street // sky,"['z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '', 'cars', '?', 'Outside']","['confidence_2', 'confidence_1', 'confidence_1', 'confidence_1', 'confidence_2']"
288,tie // hair,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy']","['?', 'person', 'man', '', 'Man']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_1', 'confidence_3']"
289,letter // word,"['x-to-y', 'x-to-y', 'x-to-y', 'x-is-y', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_2']"
290,cpu // computers,"['x-to-y', 'x-to-y', 'x-to-y', 'x-is-y', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
291,face // head,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
292,window // building,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
293,ketchup // meal,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
294,hair // shorts,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'person', 'woman', '?', 'Person']","['confidence_2', 'confidence_2', 'confidence_1', 'confidence_1', 'confidence_3']"
295,garage // garage door,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
296,eye // ear,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['face', 'Face', 'head', 'face', 'face']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
297,traffic cone // water bottle,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Traffic cone painted water bottle ', '?', '?', 'plastic', 'race']","['confidence_3', 'confidence_1', 'confidence_3', 'confidence_3', 'confidence_3']"
298,suit // man,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
299,vase // table,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'z-to-xy']","['', '', '', '', 'indoor scene']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
300,meters // gear,"['z-to-xy', 'y-to-x', 'y-to-x', 'z-to-xy', 'z-to-xy']","['Device ', '', '', 'metal', 'electrical equipment']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
301,sky // shirt,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Sky Blue colour ', '?', '?', '?', 'outdoor scene']","['confidence_3', 'confidence_1', 'confidence_3', 'confidence_1', 'confidence_3']"
302,trees // floor,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x']","['Ground ', 'Courtyard', 'ground', 'outdoor/indoor', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_1', 'confidence_3']"
303,eye // face,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
304,tools // bats,"['x-to-y', 'z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy']","['', '?', '', '?', '?']","['confidence_1', 'confidence_2', 'confidence_3', 'confidence_1', 'confidence_2']"
305,wall // ceiling,"['x-to-y', 'x-to-y', 'y-to-x', 'x-to-y', 'z-to-xy']","['', '', '', '', 'roof']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_2']"
306,teeth // hair,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['head', 'human', 'man', 'Face', 'mammal']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
307,leg // head,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x']","['body', 'human', 'animal', 'Person', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
308,light // floor,"['z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['ceiling', '', 'house', 'Room', '?']","['confidence_3', 'confidence_1', 'confidence_2', 'confidence_2', 'confidence_3']"
309,window // shirt,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '?', 'cold', '?', '?']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_1', 'confidence_3']"
310,shin guards // baseball player,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
311,controls // monitors,"['z-to-xy', 'z-to-xy', 'x-to-y', 'y-to-x', 'y-to-x']","['computer', '?', '', '', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
312,jacket // shirt,"['z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy', 'y-to-x']","['person', '?', '', 'Person', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
313,street // sign,"['x-to-y', 'x-to-y', 'x-to-y', 'z-to-xy', 'x-to-y']","['', '', '', 'town', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_2']"
314,biscuit // banana slice,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['meal', '?', 'Breakfast', 'breakfast', 'breakfast']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
315,socks // player,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_1', 'confidence_3', 'confidence_3', 'confidence_3']"
316,outfield // baseball game,"['y-to-x', 'y-to-x', 'y-to-x', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_1', 'confidence_3', 'confidence_3', 'confidence_2']"
317,exhaust pipe // gas tank,"['z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy', 'y-to-x']","['vehicle', '', 'Car', 'car', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_2']"
318,water // woman,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy']","['earth', '?', 'Swimmer', '', '?']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
319,office // computers,"['y-to-x', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_2']"
320,ground // trees,"['x-to-y', 'x-to-y', 'z-to-xy', 'x-to-y', 'x-to-y']","['', '', 'Outside', '', '']","['confidence_3', 'confidence_1', 'confidence_2', 'confidence_3', 'confidence_3']"
321,letters // sign,"['x-to-y', 'z-to-xy', 'y-to-x', 'x-to-y', 'y-to-x']","['', '?', '', '', '']","['confidence_3', 'confidence_1', 'confidence_3', 'confidence_2', 'confidence_2']"
322,dress // floor,"['y-to-x', 'y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '', '?', '?', 'woman']","['confidence_1', 'confidence_3', 'confidence_2', 'confidence_1', 'confidence_2']"
323,shoe // shirt,"['z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['person', '', 'outfit', 'Person', 'person']","['confidence_3', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_3']"
324,face mask // catcher,"['x-to-y', 'y-to-x', 'z-to-xy', 'y-to-x', 'y-to-x']","['', '', '?', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
325,median // lane,"['z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy', 'y-to-x']","['street', '', '?', 'Road', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
326,salt // prongs,"['z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy', 'x-to-y']","['meal', '', '?', '?', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_1', 'confidence_2']"
327,surface // player,"['x-to-y', 'x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', '', '?', 'Sports field', '?']","['confidence_1', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_1']"
328,sunglasses // shirt,"['z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['human', '', '?', 'Person', 'person']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
329,image // kitchen,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y']","['walls', '?', '?', '?', '']","['confidence_1', 'confidence_2', 'confidence_3', 'confidence_1', 'confidence_1']"
330,bookcase // bookshelf,"['z-to-xy', 'x-is-y', 'x-is-y', 'x-is-y', 'x-is-y']","['book', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
331,bears // teddy bears,"['z-to-xy', 'x-is-y', 'x-is-y', 'x-to-y', 'x-to-y']","['real/toy', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_2']"
332,door // building,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
333,meters // light pole,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y']","['street', '?', 'Parking lot', 'road', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_2']"
334,electronics // computers,"['x-to-y', 'x-is-y', 'x-to-y', 'x-to-y', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_1', 'confidence_3', 'confidence_2', 'confidence_3']"
335,nose // hair,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y']","['head', 'head', 'Face', 'head', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
336,sandwiches // toast,"['z-to-xy', 'x-is-y', 'x-to-y', 'z-to-xy', 'z-to-xy']","['bread', '', '', 'bread', 'bread']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
337,cement // concrete,"['x-to-y', 'x-is-y', 'x-is-y', 'x-to-y', 'x-is-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
338,people // girl,"['x-is-y', 'x-is-y', 'x-to-y', 'x-is-y', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
339,snowboarder // snowboard,"['y-to-x', 'x-to-y', 'x-to-y', 'z-to-xy', 'y-to-x']","['', '', '', 'Snowboarding', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
340,ground // person,"['z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy', 'y-to-x']","['?', '', '?', 'Outside', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_1', 'confidence_2']"
341,grass // table,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '?', '?', 'Picnic', 'Outdoor/Indoor']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_1', 'confidence_2']"
342,shower door // toilet tank,"['z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['bathroom', '', 'bathroom', 'Bathroom', 'Washroom']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
343,"sidewalk,side walk // building","['y-to-x', 'y-to-x', 'z-to-xy', 'y-to-x', 'z-to-xy']","['', '', '?', '', 'community']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_2']"
344,towel rack // products,"['z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy', 'y-to-x']","['?', '', '?', '?', '']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_1', 'confidence_1']"
345,fence // sky,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '?', '?', 'Outside', 'Outdoors', 'mountain', '?']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_1', 'confidence_1']"
346,office // telephone,"['z-to-xy', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['meeting', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
347,mannequin // slacks,"['z-to-xy', 'x-to-y', 'z-to-xy', 'x-to-y', 'y-to-x']","['?', '', '?', '', '']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
348,cabbage // brocolli,"['x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', '?', '?', 'Vegetables', 'Agriculture']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
349,condiments // mustard,"['x-to-y', 'x-to-y', 'x-to-y', 'x-is-y', 'x-to-y']","['', '', '', '', '']","['confidence_1', 'confidence_3', 'confidence_2', 'confidence_1', 'confidence_3']"
350,people // boy,"['x-is-y', 'x-to-y', 'x-to-y', 'x-is-y', 'x-to-y']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_1', 'confidence_3']"
351,"tail lights // tail light,taillight","['x-is-y', 'x-is-y', 'x-is-y', 'x-is-y', 'x-is-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
352,terminal // carts,"['z-to-xy', 'z-to-xy', 'x-to-y', 'x-to-y', 'x-to-y']","['?', 'Airport', '', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_1', 'confidence_3']"
353,man // jeans,"['z-to-xy', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['?', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
354,players // pillow,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '?', '?', 'Play ground/Bed', '?']","['confidence_3', 'confidence_1', 'confidence_2', 'confidence_1', 'confidence_2']"
355,logo // building,"['z-to-xy', 'y-to-x', 'y-to-x', 'z-to-xy', 'y-to-x']","['?', '', '', 'Brand/Office', '']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_1', 'confidence_3']"
356,dvds // book shelf,"['z-to-xy', 'y-to-x', 'z-to-xy', 'y-to-x', 'y-to-x']","['?', '', 'Library', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
357,dress // hair,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'Girl', 'woman', 'Human', 'outfit']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
358,skate park // skateboarder,"['x-to-y', 'x-to-y', 'y-to-x', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_2']"
359,beef // prongs,"['z-to-xy', 'x-to-y', 'z-to-xy', 'y-to-x', 'z-to-xy']","['eating', '', 'meal', '', '?']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_1', 'confidence_2']"
360,range // dishwasher,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy']","['?', 'Home', 'kitchen', '', 'kitchen']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_1', 'confidence_3']"
361,electronics // suitcases,"['z-to-xy', 'x-to-y', 'z-to-xy', 'x-to-y', 'z-to-xy']","['?', '', '?', '', '?']","['confidence_2', 'confidence_3', 'confidence_1', 'confidence_2', 'confidence_2']"
362,arm // shirt,"['z-to-xy', 'x-to-y', 'x-to-y', 'x-to-y', 'z-to-xy']","['?', '', '', '', '?']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_2']"
363,bush // tree,"['y-to-x', 'z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy']","['', 'Ground', '', 'Rain', 'field']","['confidence_3', 'confidence_2', 'confidence_1', 'confidence_2', 'confidence_2']"
364,hand // ear,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'Person', 'body', 'People', '?']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_2']"
365,barricade // pathway,"['y-to-x', 'z-to-xy', 'z-to-xy', 'y-to-x', 'y-to-x']","['', '?', 'street', '', '']","['confidence_2', 'confidence_2', 'confidence_1', 'confidence_3', 'confidence_2']"
366,office // office chair,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
367,tusks // rock wall,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['zoo', '?', '?', '?', '?']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_1']"
368,trees // man,"['z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy']","['earth', '?', '', '?', '?']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_1']"
369,field // player,"['z-to-xy', 'z-to-xy', 'y-to-x', 'x-to-y', 'y-to-x']","['soccer', '?', '', '', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
